City_name,0
0,İstanbul
1,Ankara
2,Diyarbakır
3,Tokat
4,Gaziantep
5,Afyonkarahisar
6,Edirne
7,Kocaeli
8,Bursa
9,İzmir
10,Sakarya
11,Elazığ
12,Kayseri
13,Eskişehir
14,Şanlıurfa
15,Samsun
16,Adana
17,Antalya
18,Kastamonu
19,Uşak
20,Muğla
21,Kırklareli
22,Konya
23,Karabük
24,Tekirdağ
25,Denizli
26,Balıkesir
27,Aydın
28,Amasya
29,Kütahya
30,Bolu
31,Trabzon
32,Isparta
33,Osmaniye
34,Niğde
35,Rize
36,Düzce
37,Hatay
38,Erzurum
39,Mersin
40,Zonguldak
41,Malatya
42,Çanakkale
43,Kars
44,Batman
45,Bilecik
46,Giresun
47,Sivas
48,Kırıkkale
49,Mardin
50,Erzincan
51,Manisa
52,Kahramanmaraş
53,Yalova
54,Tanımsız
55,Kırşehir
56,Aksaray
57,Nevşehir
58,Çorum
59,Ordu
60,Artvin
61,Siirt
62,Çankırı
