ID,City_name,Area,Population,Density
0,İstanbul,5170,10018735,1937.86
1,Ankara,25615,4007860,156.47
2,Diyarbakır,15162,1362708,89.88
3,Tokat,9912,828027,83.54
4,Gaziantep,7194,1285249,178.66
5,Afyonkarahisar,7572,623811,82.38
6,Edirne,6241,402606,64.51
7,Kocaeli,3635,1206085,331.8
8,Bursa,11087,2125140,191.68
9,İzmir,11811,3370866,285.4
10,Sakarya,4895,756168,154.48
11,Elazığ,9181,569616,62.04
12,Kayseri,17116,1060432,61.96
13,Eskişehir,13904,706009,50.78
14,Şanlıurfa,19091,1443422,75.61
15,Samsun,9474,1209137,127.63
16,Adana,14256,1849478,129.73
17,Antalya,20599,1719751,83.49
18,Kastamonu,13473,375476,27.87
19,Uşak,5174,322313,62.29
20,Muğla,12716,715328,56.25
21,Kırklareli,6056,328461,54.24
22,Konya,40824,2192166,53.7
23,Karabük,2864,225102,78.6
24,Tekirdağ,6345,623591,98.28
25,Denizli,11716,850029,72.55
26,Balıkesir,14442,1076347,74.53
27,Aydın,7922,950757,120.01
28,Amasya,5731,365231,63.73
29,Kütahya,12119,656903,54.2
30,Bolu,10716,270654,25.26
31,Trabzon,4495,975137,216.94
32,Isparta,8733,513681,58.82
33,Osmaniye,3189,458782,143.86
34,Niğde,7318,348081,47.57
35,Rize,3792,365938,96.5
36,Düzce,1065,314266,295.09
37,Hatay,5678,1253726,220.8
38,Erzurum,24741,937389,37.89
39,Mersin,15737,1651400,104.94
40,Zonguldak,3470,615599,177.41
41,Malatya,12235,853658,69.77
42,Çanakkale,9887,464975,47.03
43,Kars,9594,325016,33.88
44,Batman,4671,456734,97.78
45,Bilecik,4181,194326,46.48
46,Giresun,7151,523819,73.25
47,Sivas,28129,755091,26.84
48,Kırıkkale,4589,383508,83.57
49,Mardin,9097,705098,77.51
50,Erzincan,11974,316841,26.46
51,Manisa,13120,1260169,96.05
52,Kahramanmaraş,14213,1002384,70.53
53,Yalova,403,168593,418.34
54,Tanımsız,NA,NA,NA
55,Kırşehir,6434,253239,39.36
56,Aksaray,14532,812416,55.91
57,Nevşehir,5438,309914,56.99
58,Çorum,12833,597065,46.53
59,Ordu,5894,887765,150.62
60,Artvin,7493,191934,25.62
61,Siirt,5465,263676,48.25
62,Çankırı,8411,270355,32.1
